x y c
0.16279436073069442 0.06329574209150879 0.53609836
0.020496363811153828 0.7082279857000702 1.0037419
0.5494733761829446 0.5057118956577878 0.31005412
0.9336107047390869 0.7089487553711115 0.32235926
0.46181816397350073 0.16899260491231838 0.74284226
0.624942449554518 0.5704858945088163 0.15325136
0.43660847457411867 0.49056471852784567 0.50532347
0.11299553461723166 0.3678772788266399 0.9891467
0.3828710067210517 0.5676741431346171 0.56938493
0.7973155352427241 0.42674463347383373 0.21680391
0.5395005356740789 0.2887139066421277 0.55214256
0.6095965191954332 0.7546090003681308 0.33397543
0.8138124854177138 0.6272944837863759 0.17332597
0.7884055747695272 0.10210267782481974 0.55011815
0.5682062618823007 0.1722684557822315 0.70086646
0.20127061748792918 0.7906732592976478 0.643534
0.7978628261637111 0.5310893372820386 0.15264612
0.7474818515086515 0.6610306627943512 0.12933235
0.9335719299620897 0.09849242667952252 0.24642785
0.07078982268990486 0.39348700220679556 1.0781323
0.0956621308658856 0.3063129686329279 0.9340405
0.6262814553226373 0.8406867701645047 0.44879404
0.9403245688769194 0.247011762072867 0.32070205
0.8081966291531187 0.48195632736433713 0.1906948
0.3769002459934111 0.038426359039445024 0.88055044
0.41799680345885126 0.5810649866820399 0.5051427
0.5821795214588539 0.28243229000809633 0.526562
0.9463006357809589 0.4960644731624039 0.40688503
0.27178452784616325 0.1120251170341352 0.70713073
0.5684328544072503 0.749896970716153 0.36137193
0.02456299527855821 0.08996581818455962 0.40344635
0.7059253469528666 0.54049971744519 0.047236394
0.6851922004214515 0.05215317828138255 0.7841326
0.740905772603461 0.019756914979948692 0.741318
0.36897270992210085 0.26293417901754623 0.6872012
0.8788099975856914 0.1086666102055256 0.3625841
0.8549721804159836 0.6036582122646886 0.23727441
0.24770561674963254 0.6047556034822578 0.7818837
0.11963066336902994 0.1300803303265058 0.5724901
0.9900802163081736 0.9834377080640463 0.042321663
0.2800781482481237 0.1279272833912808 0.7119169
0.7873310557088695 0.8973345023496455 0.38488322
0.6236202775814068 0.6488222947327126 0.19256465
0.37977072336344675 0.8277212816589461 0.53858054
0.9008343892870436 0.15547235509668278 0.31153387
0.8433818261381804 0.7638907314023483 0.24131513
0.9059425615488306 0.05942493238260993 0.31446838
0.09555663464510133 0.652255285789334 0.9835899
0.5821299010632649 0.26303826163208277 0.55489767
0.6032400023406342 0.7562077397663869 0.34113687
0.26583325837759597 0.8530244419818899 0.55035895
0.24522316201878247 0.05675932486701285 0.6895981
0.8292034031353251 0.7588081943721108 0.2370298
0.003374985075032755 0.31847046525335887 1.0801239
0.25060086848760155 0.2571778528844052 0.7450823
0.8881461964228972 0.31457902090804013 0.3174323
0.35511550970212113 0.2988571749067275 0.6844494
0.037008005336566896 0.3589607023138749 1.0922155
0.2505479562328172 0.9508143431967961 0.5212669
0.5472476749948282 0.17421216445078624 0.7091606
0.39505892236790296 0.2759656326205253 0.666085
0.540730374617356 0.5981178364735535 0.29568866
0.33864813627018375 0.13062675967001147 0.7528264
0.4382204296605703 0.050116921108292356 0.90306544
0.3090377819900896 0.055636349943842256 0.7852467
0.6618303519727209 0.03335036815487624 0.84307766
0.15154153450124763 0.5798842070052155 0.95969445
0.9654093402739241 0.12441218525405984 0.2181463
0.45888850310712315 0.7001799576840136 0.43696293
0.09915565044985108 0.9518831667246216 0.30900535
